;Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_before_stress;TV_after_stress;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next
90;300128;FR0014000OZ2;1961489.8776160001;0.630868859;0.630868859;199.3499721;-14849.31457237987;;0.0;0.0;1976958.904;7.0;FR0014000OZ2;Bond;1961489.8776160001;1946640.5630436202;0.0025;0.6293230499234321;0.0095;0.6249947845090423
91;300128;FR0014009HA0;3544563.637096;1.908823613;1.908823613;2000.670038;-81191.36121924009;;0.0;0.0;3630625.0;8.0;FR0014009HA0;Bond;3544563.637096;3463372.27587676;0.0025;1.9038217974378486;0.0095;1.8898167138638244
92;300128;FR001400DTA3;1581709.41344;6.408588551;6.408588551;8324.89225;-60819.14902788306;;0.0;0.0;1646218.301;6.0;FR001400DTA3;Bond;1581709.41344;1520890.264412117;0.0025;6.379682948426932;0.0035;6.368120707397705
93;300128;FR001400F0H3;3351011.94362;3.224765432;3.224765432;4773.70152;-64837.36486802944;;0.0;0.0;3418662.137;6.0;FR001400F0H3;Bond;3351011.94362;3286174.5787519705;0.0025;3.215149332001355;0.0035;3.211302892001897
94;300128;FR001400FTH3;856331.5981449999;17.48289664;17.48289664;39895.79922;-67370.20568970773;;0.0;0.0;931347.3973;10.0;FR001400FTH3;Bond;856331.5981449999;788961.3924552922;0.0025;17.0822959695556;0.002;17.162416103644482
95;300128;FR001400H7V7;15644243.669300001;6.937582303;6.937582303;95871.97916;-488399.5261077996;;0.0;0.0;16164471.23;10.0;FR001400H7V7;Bond;15644243.669300001;15155844.143192202;0.0025;6.904700945178701;0.002;6.911277216742961
96;300128;FR001400H9B5;3343059.712545;4.319425774;4.319425774;8435.057147;-93860.63886152138;;0.0;0.0;3443156.164;7.0;FR001400H9B5;Bond;3343059.712545;3249199.073683479;0.0025;4.302990501642905;0.004;4.293129338228649
97;300128;FR001400I7P8;1287842.9184680001;2.769179012;2.769179012;1456.243622;-42795.21096689296;;0.0;0.0;1333779.452;6.0;FR001400I7P8;Bond;1287842.9184680001;1245047.7075011071;0.0025;2.760080847120015;0.0095;2.734605985456056
98;300128;FR001400M1X9;3317110.0805599997;6.31129475;6.31129475;19256.80764;-251223.11323932483;;0.0;0.0;3601605.479;7.0;FR001400M1X9;Bond;3317110.0805599997;3065886.967320675;0.0025;6.2657434403057275;0.0095;6.138199773161764
99;300128;FR001400MLX3;2369521.7133575003;3.282491367;3.282491367;3613.179399;-128335.92037224822;;0.0;0.0;2509270.685;6.0;FR001400MLX3;Bond;2369521.7133575003;2241185.792985252;0.0025;3.271306840965019;0.014;3.2198580212041072
