Portfolio;Identifier;TV;Duration_t;SpreadDuration_t;DollarRateConvexity1pc;TotalEffect;Counterparty;EquityDelta_t;FXDelta_t;NetExposure;LiquidityScore;ISIN;AssetClass;TV_day;shock_rates_dec;Duration_next;shock_spreads_dec;SpreadDuration_next;EquityDelta_next;FXDelta_next
300128;FXW1023891;-6973.171000000089;0.076712328;0.0;-0.001020231999999982;30036.409300000003;GOLDMAN SACHS BANK EUROPE SE;0.0;-12014.56372;-6973.171000000089;;;Currency Forward;23063.238299999914;0.0;0.076712328;0.0;0.0;0.0;-39737.26531944935
300128;IE00BFZRPZ02;1199079.547;7.424100375;7.424100375;7765.810878;-36638.355928;;0.0;0.0;1199079.547;10.0;IE00BFZRPZ02;Bond;1162441.191072;0.0025;7.39998162072627;0.0;7.424100375;0.0;0.0
300128;IE00BJ38CR43;1217449.315;4.662737018;4.662737018;3333.790891;-23287.063816;;0.0;0.0;1217449.315;10.0;IE00BJ38CR43;Bond;1194162.251184;0.0025;4.648631294179941;0.0;4.662737018;0.0;0.0
300128;IE00BKFVC345;340080.2192;9.566273126;9.566273126;3485.255338;-13419.51312;;0.0;0.0;340080.2192;10.0;IE00BKFVC345;Bond;326660.70608;0.0025;9.538848754440998;0.0;9.566273126;0.0;0.0
300128;IE00BV8C9186;565842.6027;15.57777024;15.57777024;16565.1818;-36222.911552;;0.0;0.0;565842.6027;10.0;IE00BV8C9186;Bond;529619.6911480001;0.0025;15.452556386069437;0.0;15.57777024;0.0;0.0
300128;IKM25 Cmdty;0.0;0.0;0.0;-205639.8486;1434626.7798;;0.0;0.0;-31612880.0;;;Bond Future;1434626.7798;0.0025;0.0;0.0;0.0;0.0;0.0
300128;INFS10000293;160151.0361;0.794520548;0.0;0.026984757;81473.3949575;CITIBANK EUROPE PUBLIC LIMITED COMPANY;0.0;0.0;60000000.0;;;Index Linked Swap;241624.4310575;0.0025;0.7960944928610996;0.0;0.0;0.0;0.0
300128;INFS10000308;335527.9965;3.95890411;0.0;7.059076797;181812.8892525;GOLDMAN SACHS INTERNATIONAL  PARIS BRANCH;0.0;3355.279965;24995371.23;;;Index Linked Swap;517340.88575250003;0.00125;3.9782322782935458;0.0;0.0;0.0;5173.408857525001
300128;INFS10000384;142210.0594;9.934246575;0.0;5.444268421;631263.2904699999;JP MORGAN SE;0.0;1422.100594;36659877.8;;;Index Linked Swap;773473.3498699999;0.00125;10.057129602687176;0.0;0.0;0.0;7734.7334986999995
300128;INFS10000395;-159472.1501;4.931506849;0.0;-1.687088934;-333000.54174675;JP MORGAN SE;0.0;-1594.721501;-36659877.8;;;Index Linked Swap;-492472.69184675;0.00125;4.961774308660956;0.0;0.0;0.0;-4924.7269184675
