;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;LiquidityScore;TV_before_stress
3479;400804;FR001400CHR4;FR001400CHR4;Bond;AEMA GROUPE (EUR 6.250, 9-Sep-2033);18878.73355;6.43803786;0.0;0.0;0.0;6.720934275;3489090.822;3000000.0;-2065.4907469012337;-2065.4907469012337;6.43803786;3208261.2619200004;0.129693212;3489090.822;;6.0;3489090.822
3480;400804;FR001400CKA4;FR001400CKA4;Bond;SOCIETE GENERALE SA (EUR 5.250, 6-Sep-2032);2321.143837;2.213473081;0.0;0.0;0.0;2.292080957;3205140.411;3000000.0;-689.9345745655937;-689.9345745655937;2.213473081;3116977.479816;0.119138473;3205140.411;;6.0;3205140.411
3481;400804;FR001400D6M2;FR001400D6M2;Bond;ELECTRICITE DE FRANCE SA (EUR 3.875, 12-Jan-2027);876.4491076;1.628766254;0.0;0.0;0.0;1.673662041;2052901.644;2000000.0;-331.0136253008537;-331.0136253008537;1.628766254;2032296.68154;0.076308535;2052901.644;;6.0;2052901.644
3482;400804;FR001400D6N0;FR001400D6N0;Bond;ELECTRICITE DE FRANCE SA (EUR 4.375, 12-Oct-2029);6264.236262;3.859727906;0.0;0.0;0.0;3.979441924;3211940.137;3000000.0;-1210.4764155182806;-1210.4764155182806;3.859727906;3136170.3337600003;0.119391226;3211940.137;;7.0;3211940.137
3483;400804;FR001400DCZ6;FR001400DCZ6;Bond;BNP PARIBAS SA (EUR 4.375, 13-Jan-2029);2935.752008;2.587478338;0.0;0.0;0.0;2.667411949;3128938.356;3000000.0;-795.5706774206029;-795.5706774206029;2.587478338;3074695.0254105004;0.116305962;3128938.356;;7.0;3128938.356
3484;400804;FR001400DLD4;FR001400DLD4;Bond;LA BANQUE POSTALE SA (EUR 5.500, 5-Mar-2034);5180.559208;3.503875219;0.0;0.0;0.0;3.636700895;3195503.425;3000000.0;-1070.7896313313292;-1070.7896313313292;3.503875219;3056015.30992;0.118780256;3195503.425;;6.0;3195503.425
3485;400804;FR001400DNF5;FR001400DNF5;Bond;BOUYGUES (EUR 5.375, 30-Jun-2042);38284.55016;11.00191897;0.0;0.0;0.0;11.48383963;2313458.63;2000000.0;-2372.7265751334508;-2372.7265751334508;11.00191897;2156647.92806;0.085993714;2313458.63;;7.0;2313458.63
3486;400804;FR001400DNU4;FR001400DNU4;Bond;SOCIETE NATIONALE SNCF S (EUR 3.125, 2-Nov-2027);3488.889817;2.441977417;0.0;0.0;0.0;2.502671993;4114107.397;4000000.0;-989.5704690391259;-989.5704690391259;2.441977417;4052332.59796;0.152925742;4114107.397;;7.0;4114107.397
3487;400804;FR001400DQ84;FR001400DQ84;Bond;SUEZ SA (FR) (EUR 4.625, 3-Nov-2028);4101.947641;3.066917878;0.0;0.0;0.0;3.160744195;3203920.274;3000000.0;-964.1876927387232;-964.1876927387232;3.066917878;3143832.76988;0.11909312;3203920.274;;7.0;3203920.274
3488;400804;FR001400EHG3;FR001400EHG3;Bond;SOCIETE GENERALE SA (EUR 4.250, 6-Dec-2030);6902.117204;4.147789175;0.0;0.0;0.0;4.299424921;3115171.233;3000000.0;-1255.9951861922827;-1255.9951861922827;4.147789175;3028107.58503;0.115794223;3115171.233;;8.0;3115171.233
3489;400804;FR001400F0H3;FR001400F0H3;Bond;JC DECAUX SA (EUR 5.000, 11-Jan-2029);4475.345175;3.224765432;0.0;0.0;0.0;3.329835043;3204995.753;3000000.0;-1013.0838259134117;-1013.0838259134117;3.224765432;3141573.69668;0.119133096;3204995.753;;6.0;3204995.753
3490;400804;FR001400F323;FR001400F323;Bond;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 5.125, 13-Jan-2033);16172.64536;6.323974759;0.0;0.0;0.0;6.590675099;3209554.932;3000000.0;-1869.6394399204892;-1869.6394399204892;6.323974759;2956430.90172;0.119302566;3209554.932;;8.0;3209554.932
3491;400804;FR001400F4B8;FR001400F4B8;Bond;AGENCE FRANCE LOCALE (EUR 3.000, 20-Mar-2030);5205.186846;4.55477506;0.0;0.0;0.0;4.687594322;2009448.219;2000000.0;-895.9504349916775;-895.9504349916775;4.55477506;1967057.4796545;0.074693325;2009448.219;;7.0;2009448.219
3492;400804;FR001400F6E7;FR001400F6E7;Bond;AYVENS SA (EUR 4.250, 18-Jan-2027);1636.592997;1.715888646;0.0;0.0;0.0;1.762546916;3518570.11;3400000.0;-597.3624880070079;-597.3624880070079;1.715888646;3481359.2909979997;0.130788988;3518570.11;;7.0;3518570.11
3493;400804;FR001400FB06;FR001400FB06;Bond;GROUPE BPCE SA (EUR 3.500, 25-Jan-2028);2999.439204;2.649500636;0.0;0.0;0.0;2.722732362;3077648.63;3000000.0;-800.9938056071355;-800.9938056071355;2.649500636;3023187.821598;0.114399468;3077648.63;;8.0;3077648.63
3494;400804;FR001400FB22;FR001400FB22;Bond;GROUPE BPCE SA (EUR 5.125, 25-Jan-2035);7178.581269;4.196975272;0.0;0.0;0.0;4.369179144;3158630.137;3000000.0;-1256.2063918956603;-1256.2063918956603;4.196975272;2993123.1672400003;0.117409637;3158630.137;;8.0;3158630.137
3495;400804;FR001400FDB0;FR001400FDB0;Bond;ELECTRICITE DE FRANCE SA (EUR 4.250, 25-Jan-2032);12643.36396;5.699108821;0.0;0.0;0.0;5.906693749;3125605.479;3000000.0;-1718.9225466412008;-1718.9225466412008;5.699108821;3016125.1533;0.116182075;3125605.479;;7.0;3125605.479
3496;400804;FR001400FDC8;FR001400FDC8;Bond;ELECTRICITE DE FRANCE SA (EUR 4.625, 25-Jan-2043);33751.20774;11.6555363;0.0;0.0;0.0;12.20820141;1984192.603;2000000.0;-2147.48187724058;-2147.48187724058;11.6555363;1842456.5133399998;0.073754546;1984192.603;;7.0;1984192.603
3497;400804;FR001400FTH3;FR001400FTH3;Bond;REPUBLIC OF FRANCE (EUR 3.000, 25-May-2054);544033.6257;17.48289664;0.0;0.0;0.0;18.19208255;12700191.78;15000000.0;-20415.213842195215;-20415.213842195215;17.48289664;11677249.0638;0.472079618;12700191.78;;10.0;12700191.78
3498;400804;FR001400G3Y1;FR001400G3Y1;Bond;KERING SA (EUR 3.250, 27-Feb-2029);4848.922879;3.496527024;0.0;0.0;0.0;3.600063044;3036717.945;3000000.0;-1039.4590264502397;-1039.4590264502397;3.496527024;2972832.81186;0.112878031;3036717.945;;7.0;3036717.945
3499;400804;FR001400H2O3;FR001400H2O3;Bond;RENAULT S.A. (EUR 4.500, 6-Apr-2027);1408.308636;1.629066425;0.0;0.0;0.0;1.675444986;3216750.822;3000000.0;-518.7926212773659;-518.7926212773659;1.629066425;3184600.783098;0.119570045;3216750.822;;6.0;3216750.822
3500;400804;FR001400H4K7;FR001400H4K7;Bond;SOCIETE DU GRAND PARIS EPIC (EUR 3.700, 25-May-2053);72302.89714;16.26495948;0.0;0.0;0.0;16.94110188;1912629.315;2000000.0;-2801.3347092589165;-2801.3347092589165;16.26495948;1722312.75012;0.071094463;1912629.315;;8.0;1912629.315
3501;400804;FR001400H9B5;FR001400H9B5;Bond;BNP PARIBAS SA (EUR 4.250, 13-Apr-2031);7907.866076;4.319425774;0.0;0.0;0.0;4.469730235;3227958.904;3000000.0;-1353.7592144586065;-1353.7592144586065;4.319425774;3134118.480765;0.119986661;3227958.904;;7.0;3227958.904
3502;400804;FR001400HIK6;FR001400HIK6;Bond;SOCIETE NATIONALE SNCF S (EUR 3.375, 25-May-2033);11930.79225;6.828911975;0.0;0.0;0.0;7.060115199;2055688.767;2000000.0;-1344.4166747960371;-1344.4166747960371;6.828911975;1968712.84872;0.076412135;2055688.767;;8.0;2055688.767
3503;400804;FR001400HMF8;FR001400HMF8;Bond;BANQUE FEDERATIVE DU CREDIT MUTUEL (EUR 4.375, 2-May-2030);8028.659338;4.352446791;0.0;0.0;0.0;4.507423851;3231433.151;3000000.0;-1365.2686321584636;-1365.2686321584636;4.352446791;3136784.199135;0.120115802;3231433.151;;8.0;3231433.151
3504;400804;FR001400HOZ2;FR001400HOZ2;Bond;LA BANQUE POSTALE SA (EUR 4.000, 3-May-2028);2344.195389;2.791704012;0.0;0.0;0.0;2.870835608;2140727.123;2000000.0;-586.466059758454;-586.466059758454;2.791704012;2100745.842817;0.079573101;2140727.123;;7.0;2140727.123
3505;400804;FR001400I7P8;FR001400I7P8;Bond;GROUPE BPCE SA (EUR 5.750, 1-Jun-2033);3640.609054;2.769179012;0.0;0.0;0.0;2.868368493;3334448.63;3000000.0;-891.5668951452647;-891.5668951452647;2.769179012;3219607.296176;0.123944997;3334448.63;;6.0;3334448.63
