Portfolio,d1_id,TV,Duration_t,DollarRateConvexity1pc,TotalEffect,Counterparty,ISIN,AssetClass,TV_day,shock_rates_dec,Duration_next,AssetType,Sector1,Seniority,CompositeBroadRating,MaturityDate,Maturity,Maturity Band,EffectiveMaturityDate,LiquidityScore,Country,{Class_Rating},TV_change
900200,FR0128910454,3494273.525435,0.0622722195791372,22.56402065192675,-1321.1225931781642,,FR0128910454,Bond,3492952.4028418222,0.0025,0.06283632009543537,Bond,Corporates,Senior,BBB,2025-04-23 00:00:00,0.06301369863013699,0-1,2025-04-23,8.0,France,IG,1321.1225931779481
900200,FR0128957760,16987825.39246228,0.0270705272859782,46.0609783664252,-2792.5192425965392,,FR0128957760,Bond,16985032.873219684,0.0025,0.02822205174513883,Bond,Corporates,Senior,BBB,2025-04-10 00:00:00,0.0273972602739726,0-1,2025-04-10,8.0,France,IG,2792.519242595881
900200,FR0128962497,19995591.84081565,0.0081157909728521,15.936074682100465,-986.0839811909092,,FR0128962497,Bond,19994605.75683446,0.0025,0.008514192839904611,Bond,Corporates,Senior,BBB,2025-04-03 00:00:00,0.00821917808219178,0-1,2025-04-03,8.0,Luxembourg,IG,986.0839811898768
900200,FR0129030898,9971499.4234,0.0944095824535604,100.30479780098482,-15776.824430173972,,FR0129030898,Bond,9955722.598969826,0.0025,0.09691720239858502,Bond,Corporates,Senior,BB,2025-05-05 00:00:00,0.0958904109589041,0-1,2025-05-05,8.0,France,HY,15776.824430173263
900200,FR0129061653,19836694.535999823,0.2919122286938837,732.4803652503042,-96846.54702233337,,FR0129061653,Bond,19739847.98897749,0.0025,0.3102242378251413,Bond,Corporates,Senior,BB,2025-07-17 00:00:00,0.2958904109589041,0-1,2025-07-17,8.0,France,HY,96846.5470223315
900200,FR0129084762,10023380.513505604,0.0028283356467447,-0.0063948846218409,-1224.249002983115,,FR0129084762,Bond,10022156.26450262,0.0025,0.002828175774629154,Bond,Corporates,Senior,BB,2025-04-03 00:00:00,0.00821917808219178,0-1,2025-04-03,8.0,France,HY,1224.2490029837936
900200,FR0129101236,9994868.3500999,0.0189378635543252,18.7934667829838,-1150.0944402854686,,FR0129101236,Bond,9993718.255659616,0.0025,0.019407700223899794,Bond,Corporates,Senior,BBB,2025-04-07 00:00:00,0.019178082191780823,0-1,2025-04-07,8.0,Luxembourg,IG,1150.0944402851164
900200,FR0129105872,17676103.70466937,0.0458903791480086,82.55097772169675,-13583.96462783496,,FR0129105872,Bond,17662519.740041535,0.0025,0.04795415359105102,Bond,Corporates,Senior,BB,2025-04-17 00:00:00,0.04657534246575343,0-1,2025-04-17,8.0,France,HY,13583.9646278359
900200,FR0129106383,6958360.416839971,0.2135585456503635,176.35113147557556,-9036.33654132095,,FR0129106383,Bond,6949324.08029865,0.0025,0.21796732393725288,Bond,Corporates,Senior,BBB,2025-06-18 00:00:00,0.21643835616438356,0-1,2025-06-18,8.0,France,IG,9036.336541321129
900200,FR0129107795,12975226.13033154,0.0647861970444555,87.1364647136686,-14077.231637291206,,FR0129107795,Bond,12961148.898694249,0.0025,0.06696460866229721,Bond,Corporates,Senior,BB,2025-04-24 00:00:00,0.06575342465753424,0-1,2025-04-24,8.0,France,HY,14077.23163729161
900200,FR0129109759,13968359.745711954,0.0811011969354974,119.43820155124384,-6888.506175967539,,FR0129109759,Bond,13961471.239535987,0.0025,0.0840871519742785,Bond,Corporates,Senior,BBB,2025-04-30 00:00:00,0.0821917808219178,0-1,2025-04-30,8.0,France,IG,6888.506175966933
900200,IKM25 Cmdty,0.0,0.0,-19875.9704992228,138662.81142631825,,,Bond Future,138662.81142631825,0.0025,-0.49689926248057,Bond Future,Sovereigns,,BBB,2025-06-06 00:00:00,0.18356164383561643,0-1,2034-03-01,,Italy,IG,-138662.81142631825
900200,INFS10000294,337818.9704720788,8.96164383561639,-48.69983947987938,-332792.5737386868,JPMSE,,Index Linked Swap,5026.39673339203,0.0025,8.960426339629393,Index Linked Swap,Interest rates,,N/R,2034-03-15 00:00:00,8.961643835616439,5-10,,,,NR,332792.5737386868
900200,INFS10000295,-1357239.567416324,18.96986301369862,1746.489229204141,1380023.7833402862,JPMSE,,Index Linked Swap,22784.215923962183,0.0025,19.013525244428724,Index Linked Swap,Interest rates,,N/R,2044-03-15 00:00:00,18.96986301369863,10+,,,,NR,-1380023.7833402862
900200,INFS10000296,1045590.03176928,28.97534246575347,-5227.462631761314,-1021033.6634602637,JPMSE,,Index Linked Swap,24556.368309016223,0.0025,28.844655899959438,Index Linked Swap,Interest rates,,N/R,2054-03-15 00:00:00,28.975342465753425,10+,,,,NR,1021033.6634602637
