day_index,day_label,Portfolio,Identifier,AssetClass,TV_start,TV_pre_collateral,TV_end_of_day,Stress_PnL,Collateral_sales
2,Day 2,300191,FR0128813492,Bond,-27050.6498495,-27003.10291655185,-27003.10291655185,47.54693294815297,0.0
2,Day 2,300191,FR0128816198,Bond,-18425.724135499997,-18392.61966529462,-18392.61966529462,33.104470205376856,0.0
2,Day 2,300191,FR0128816420,Bond,-1624.7483886,-1624.1683180285015,-1624.1683180285015,0.5800705714984815,0.0
2,Day 2,300191,FR0128867167,Bond,-22340.720274750005,-22316.175671317873,-22316.175671317873,24.544603432132135,0.0
2,Day 2,300191,FR0128867399,Bond,-42502.800741,-42443.50427271154,-42443.50427271154,59.2964682884558,0.0
2,Day 2,300191,FR0128867449,Bond,-12944.29469325,-12927.789805014523,-12927.789805014523,16.504888235476756,0.0
2,Day 2,300191,FR0128902766,Bond,-24874.93659525,-24814.38713600201,-24814.38713600201,60.54945924799176,0.0
2,Day 2,300191,FR0128902923,Bond,-41912.2717195,-41797.457155195036,-41797.457155195036,114.81456430496473,0.0
2,Day 2,300191,FR0128910587,Bond,-3774.7279224000004,-3773.31702048877,-3773.31702048877,1.4109019112302121,0.0
2,Day 2,300191,FR0128913656,Bond,-48691.841346,-48452.3511372726,-48452.3511372726,239.4902087274022,0.0
2,Day 2,300191,FR0128913979,Bond,-86682.094429,-86435.32156670922,-86435.32156670922,246.7728622907889,0.0
2,Day 2,300191,FR0128958545,Bond,-4584.7719414,-4580.599075474653,-4580.599075474653,4.172865925347651,0.0
2,Day 2,300191,FR0128963560,Bond,-16226.064396,-16217.352754268211,-16217.352754268211,8.711641731788404,0.0
2,Day 2,300191,FR0128984541,Bond,-27744.459201,-27706.58411739811,-27706.58411739811,37.875083601891674,0.0
2,Day 2,300191,FR0128985662,Bond,-2628.307236,-2627.880023135788,-2627.880023135788,0.42721286421192417,0.0
2,Day 2,300191,FR0129012466,Bond,-19491.363335,-19478.87891719237,-19478.87891719237,12.484417807627324,0.0
2,Day 2,300191,FR0129014306,Bond,-34019.95480575,-33974.32662964813,-33974.32662964813,45.62817610186903,0.0
2,Day 2,300191,FR0129014868,Bond,-101302.20608575,-100895.40280500149,-100895.40280500149,406.8032807485142,0.0
2,Day 2,300191,FR0129025500,Bond,-9332.658965999999,-9324.012944855664,-9324.012944855664,8.646021144335464,0.0
2,Day 2,300191,FR0129026011,Bond,-903.4127004,-903.2512021574552,-903.2512021574552,0.16149824254478062,0.0
2,Day 2,300191,FR0129026433,Bond,-614.0556503999999,-613.8860425825036,-613.8860425825036,0.16960781749628495,0.0
2,Day 2,300191,FR0129026458,Bond,-9562.981290000002,-9550.8651840417,-9550.8651840417,12.116105958300977,0.0
2,Day 2,300191,FR0129026656,Bond,-4800.0,-4797.696,-4797.696,2.3040000000000873,0.0
2,Day 2,300191,FR0129030120,Bond,-15993.5984,-15985.151905283194,-15985.151905283194,8.446494716807138,0.0
2,Day 2,300191,FR0129030807,Bond,-6886.886316,-6882.970861755442,-6882.970861755442,3.915454244558532,0.0
2,Day 2,300191,FR0129052264,Bond,-70183.0055345,-69939.91801031597,-69939.91801031597,243.08752418402582,0.0
2,Day 2,300191,FR0129053411,Bond,-12132.300030000002,-12125.008243079494,-12125.008243079494,7.291786920508457,0.0
2,Day 2,300191,FR0129053510,Bond,-4921.0766178,-4918.677807163288,-4918.677807163288,2.398810636712369,0.0
2,Day 2,300191,FR0129059954,Bond,-1725.1781004,-1724.981860214508,-1724.981860214508,0.19624018549188804,0.0
