;Portfolio;Identifier;ISIN;AssetClass;AssetID;DollarRateConvexity1pc;Duration;EquityDelta;FXDelta;InflationDelta1bp;MacaulayDuration;NetExposure;Nominal;RateDelta1bp;SpreadDelta1bp;SpreadDuration;TV;TVPercent;TV_prev;Counterparty;TV_before_stress;LiquidityScore
3217;389088;FXW1023881;Not Classified;Currency Forward;FXW1023881 BNP_PARIBAS_FR EUR/GBP 20250414;-0.0013756790000000185;0.076712328;0.0;-16700.03535;0.0;0.076712328;-9334.94299999997;-10620.018000000156;-0.7115539190231556;-0.0;0.0;83873.13927362711;-0.0011684250000000007;-9334.94299999997;BNP PARIBAS;92756.13680022272;
3218;389088;FXW1023892;Not Classified;Currency Forward;FXW1023892 GOLDMAN_SACHS_DE EUR/USD 20250414;-0.00031391700000000383;0.076712328;0.0;-3696.788837;0.0;0.076712328;-2145.5912000000244;-2415.273199999996;-0.1569051872201578;-0.0;0.0;18487.335069064564;-0.0002685559999999962;-2145.5912000000244;GOLDMAN SACHS BANK EUROPE SE;20453.71211002198;
3219;389088;IKM25 Cmdty;Not Classified;Bond Future;Euro-BTP-Italy-10yr (Jun 25);-360060.8502;0.0;0.0;0.0;0.0;0.0;-55351920.0;-47100000.0;41865.50268;41865.50268;0.0;-502386.0321599997;0.0;0.0;;0.0;
3220;389088;INFS10000382;Not Classified;Index Linked Swap;INF USD REC US-CPI 0.0249 05/03/2035;11.49345556;9.934246575;0.0;3002.212366;67195.02837;0.0;77393075.36;77393075.36;-3446.571678871603;-0.0;0.0;3210817.304567117;0.037577738;300221.2366;JP MORGAN SE;3469384.067378661;
3221;389088;INFS10000394;Not Classified;Index Linked Swap;INF USD PAY US-CPI 0.02548 05/03/2030;-3.561632194;4.931506849;0.0;-3366.634281;-35674.65259;0.0;-77393075.36;-77393075.36;994.1472282820534;0.0;0.0;-1877487.1781046442;-0.042139091;-336663.4281;JP MORGAN SE;-2015909.6574785137;
3222;389088;INFS10000399;Not Classified;Index Linked Swap;INF EUR REC EU-HICP 0.019065 15/03/2030;1.24154843;4.95890411;0.0;0.0;35174.18371;0.0;74000000.0;74000000.0;-736.664615470233;-0.0;0.0;1348525.7298083566;-0.024193639;-193291.1533;GOLDMAN SACHS BANK EUROPE SE;1485539.1415710053;
3223;389088;INFS10000404;Not Classified;Index Linked Swap;INF EUR PAY EU-HICP 0.0199 15/03/2035;-5.87e-05;9.961643836;0.0;0.0;-69017.1998;0.0;-74000000.0;-74000000.0;3241.068246012142;0.0;0.0;-2993684.1486001434;-8.28e-05;-661.3479598;GOLDMAN SACHS BANK EUROPE SE;-3253547.6065700827;
3224;389088;IT0005521981;IT0005521981;Bond;REPUBLIC OF ITALY (EUR 3.400, 1-Apr-2028);22682.32246;2.806089928;0.0;0.0;0.0;2.840214307;23649693.1;22639000.0;-6370.027345694015;-6370.027345694015;2.806089928;22777164.50000037;2.960156884;23649693.1;;22700724.17185204;10.0
3225;389088;IT0005548315;IT0005548315;Bond;REPUBLIC OF ITALY (EUR 3.800, 1-Aug-2028);31454.77806;3.115493235;0.0;0.0;0.0;3.154859551;27106396.04;25900000.0;-8069.352211564857;-8069.352211564857;3.115493235;25997553.56630075;3.392821399;27106396.04;;25900721.339761972;10.0
3226;389088;IT0005572166;IT0005572166;Bond;BANCO BPM SPA (EUR 4.625, 29-Nov-2027);2758.730491;2.467866457;0.0;0.0;0.0;2.538480166;3179906.712;3000000.0;-754.5450373730004;-754.5450373730004;2.467866457;3067288.2907838705;0.398018812;3179906.712;;3057479.2052980214;6.0
3227;389088;IT0005611055;IT0005611055;Bond;REPUBLIC OF ITALY (EUR 3.000, 1-Oct-2029);84637.3644;4.12623753;0.0;0.0;0.0;4.184699075;42421016.59;41512000.0;-16476.455931255747;-16476.455931255747;4.12623753;40128661.36731026;5.309703755;42421016.59;;39930943.896135196;10.0
3228;389088;IT0005633794;IT0005633794;Bond;REPUBLIC OF ITALY (EUR 2.550, 25-Feb-2027);3521.619831;1.847755237;0.0;0.0;0.0;1.868741426;8060399.421;8000000.0;-1449.8652817022517;-1449.8652817022517;1.847755237;7864029.001276772;1.008894565;8060399.421;;7846630.6178963445;9.0
3229;389088;IT0005636532;IT0005636532;Bond;UNICREDIT SPA (EUR 5.625, Perpetual);14102.02741;6.049478671;0.0;0.0;0.0;6.250851575;3162413.805;3350000.0;-1594.2171971663852;-1594.2171971663852;6.049478671;2673558.0438601794;0.39582928;3162413.805;;2635296.831128186;5.0
3230;389088;LU1717592346;LU1717592346;Fund Unit;GROUPAMA GLOBAL INFLATION SHORT DURATION - IC;-39132.09488;1.07422244;0.0;6689.551268;5198.042056;1.329305597;22240594.24;11972854.1;-1775.3077409329771;-1711.392482457183;1.035547903;16618101.284160001;2.206231326;17626327.2;;16526444.382720001;
3231;389088;LU2023296168;LU2023296168;Fund Unit;GROUPAMA CORPORATE HYBRID - IC;21287.44281;3.236585554;2.71878052;208.8666425;0.0;3.392994275;12464924.73;12094498.68;-3782.60047621448;-3812.81498026414;3.262438622;11751826.111232;1.560181062;12464813.44;;11687009.081344;
3232;389088;LU2550878602;LU2550878602;Fund Unit;GROUPAMA ALPHA FIXED INCOME PLUS - IC;627.6491279;0.536002618;-5944.138154;309.9877735;135.4823121;0.5913984;21026959.6;19967210.49;-1369.7785684626554;-1895.4421093824778;0.741697933;25697177.905456;3.411576205;27256234.52;;25555445.485951997;
3233;389088;OEM25 Cmdty;Not Classified;Bond Future;Euro-Bobl (Jun 25);561828.0397;0.0;0.0;0.0;0.0;0.0;204836810.0;173900000.0;-98896.95915;-98896.95915;0.0;791175.6731999991;0.0;0.0;;0.0;
3234;389088;PTEDP4OM0025;PTEDP4OM0025;Bond;ELECTRICIDAD DE PORTUGAL (EUR 5.943, 23-Apr-2083);4290.378511;2.443550654;0.0;0.0;0.0;2.539839345;4876014.422;4400000.0;-1077.694972764762;-1077.694972764762;2.443550654;4445928.708003575;0.61031522;4876014.422;;4410364.773902338;6.0
3235;389088;PTEDPUOM0008;PTEDPUOM0008;Bond;ELECTRICIDAD DE PORTUGAL (EUR 3.875, 26-Jun-2028);3413.388178;2.772732422;0.0;0.0;0.0;2.852706071;3172421.096;3000000.0;-844.773355555727;-844.773355555727;2.772732422;3056855.1995759667;0.397081861;3172421.096;;3046717.919309298;7.0
3236;389088;RXM25 Cmdty;Not Classified;Bond Future;Euro-Bund (Jun 25);-348558.3237;0.0;0.0;0.0;0.0;0.0;-47022950.0;-36500000.0;38284.12771;38284.12771;0.0;-306273.0216799997;0.0;0.0;;0.0;
3237;389088;TUM25 Cmdty;Not Classified;Bond Future;US-2yr (Jun 25);142323.5023;0.0;0.0;0.0;0.0;0.0;320481581.9;309387150.5;-60854.89582;-60854.89582;0.0;334701.92700999975;0.0;0.0;;0.0;
3238;389088;UBM25 Cmdty;Not Classified;Bond Future;Euro Buxl-30y (Jun 25);-1604283.779;0.0;0.0;0.0;0.0;0.0;-31126860.0;-26100000.0;63558.13062;63558.13062;0.0;-508465.04495999956;0.0;0.0;;0.0;
3239;389088;UXYM25 Cmdty;Not Classified;Bond Future;US 10yr Ultra (Jun 25);-569291.8344;0.0;0.0;0.0;0.0;0.0;-78076629.33;-68413256.8;62595.51055;62595.51055;0.0;-344275.30802499974;0.0;0.0;;0.0;
3240;389088;XS1069439740;XS1069439740;Bond;AXA SA (EUR 3.875, Perpetual);227.2160593;0.505123;0.0;0.0;0.0;0.523287672;3059167.808;3000000.0;-152.25416213292553;-152.25416213292553;0.505123;3017853.851890714;0.382906307;3059167.808;;3014199.7519995235;5.0
3241;389088;XS1819574929;XS1819574929;Bond;ROLLS-ROYCE PLC (EUR 1.625, 9-May-2028);3384.107661;2.918116125;0.0;0.0;0.0;3.003903127;2927951.096;3000000.0;-818.9644736879771;-818.9644736879771;2.918116125;2816311.0671674944;0.366482328;2927951.096;;2806483.493483239;6.0
3242;389088;XS2125121769;XS2125121769;Bond;HEIMSTADEN BOSTAD TREASURY BV (EUR 3.375, Perpetual);384.3315688;0.725020122;0.0;0.0;0.0;0.786195795;3213516.692;3286000.0;-227.98339076231048;-227.98339076231048;0.725020122;3149982.820369132;0.402225666;3213516.692;;3144511.2189908363;4.0
